ano,temperatura_media_compensada,temperatura_max_media,temperatura_min_media,precipitacao,umidade_relativa_ar_media
2007,18.008801,23.810488,13.679568,152.014504,76.85561
2008,17.704509,23.620116,13.36936,121.526515,76.880518
2009,17.859395,23.804925,13.532603,158.819697,77.89125
2010,17.899166,23.656596,13.539228,139.206061,77.114623
2011,17.717839,23.615122,13.414574,133.734091,76.702252
2012,18.698916,24.905944,14.152761,118.215152,74.408243
2013,17.609501,23.506232,13.183224,137.961364,77.939976
2014,18.692678,24.361211,14.564727,173.484091,79.594227
2015,18.611122,24.115088,14.684228,180.603788,80.222897
2016,17.819325,23.517815,13.68133,136.932,77.468776
2017,18.970917,24.826948,14.689362,154.07686,76.721192
2018,18.400763,24.118901,14.164952,141.403333,77.567756
2019,18.797058,24.672993,14.471991,139.585366,77.19646
2020,18.737857,24.854203,13.804544,114.886408,72.377884
2021,18.28279,24.113891,13.644718,113.775,75.372294
