,estacao,data_medicao,ano,mes,precipitacao,temperatura_max_media,temperatura_media_compensada,temperatura_min_media,umidade_relativa_ar_media
0,SAO LUIZ GONZAGA,2007-01-31,2007,1,244.0,32.309677,25.67871,20.541935,72.548387
1,SAO LUIZ GONZAGA,2007-02-28,2007,2,164.1,32.235714,25.298571,19.95,71.723214
2,SAO LUIZ GONZAGA,2007-03-31,2007,3,155.1,32.058065,25.248387,20.403226,74.564516
3,SAO LUIZ GONZAGA,2007-04-30,2007,4,268.8,28.593333,22.238,17.653333,76.0
4,SAO LUIZ GONZAGA,2007-05-31,2007,5,205.4,21.064516,14.659355,10.251613,77.556452
5,SAO LUIZ GONZAGA,2007-06-30,2007,6,53.0,21.73,16.006,12.086667,73.55
6,SAO LUIZ GONZAGA,2007-07-31,2007,7,118.2,18.83871,12.431613,8.096774,74.016129
7,SAO LUIZ GONZAGA,2007-08-31,2007,8,51.6,20.793548,14.564516,10.093548,75.733871
8,SAO LUIZ GONZAGA,2007-09-30,2007,9,367.1,26.616667,20.341333,15.73,69.8
9,SAO LUIZ GONZAGA,2007-10-31,2007,10,222.9,27.954839,21.986452,17.287097,74.096774
10,SAO LUIZ GONZAGA,2007-11-30,2007,11,164.5,29.336667,21.854667,15.163333,61.733333
11,SAO LUIZ GONZAGA,2007-12-31,2007,12,105.4,33.364516,25.854839,19.516129,61.814516
12,SAO LUIZ GONZAGA,2008-01-31,2008,1,140.1,32.141935,25.44129,20.051613,67.508065
13,SAO LUIZ GONZAGA,2008-02-29,2008,2,136.9,32.268966,25.154483,19.506897,67.310345
14,SAO LUIZ GONZAGA,2008-03-31,2008,3,53.3,30.412903,23.550323,18.545161,73.104839
15,SAO LUIZ GONZAGA,2008-04-30,2008,4,195.2,26.743333,19.817333,14.966667,72.9
16,SAO LUIZ GONZAGA,2008-05-31,2008,5,89.4,22.454839,16.126452,11.664516,76.516129
17,SAO LUIZ GONZAGA,2008-06-30,2008,6,189.0,18.706667,13.388667,9.473333,79.891667
18,SAO LUIZ GONZAGA,2008-07-31,2008,7,50.9,23.574194,17.943226,14.170968,76.120968
19,SAO LUIZ GONZAGA,2008-08-31,2008,8,132.5,22.690323,16.11871,11.277419,77.862903
20,SAO LUIZ GONZAGA,2008-09-30,2008,9,80.9,22.75,16.074,10.713333,70.625
21,SAO LUIZ GONZAGA,2008-10-31,2008,10,483.5,26.041935,20.303226,15.467742,75.75
22,SAO LUIZ GONZAGA,2008-11-30,2008,11,47.9,31.116667,23.848,17.483333,63.575
23,SAO LUIZ GONZAGA,2008-12-31,2008,12,40.3,33.006452,25.499355,18.948387,59.709677
24,SAO LUIZ GONZAGA,2009-01-31,2009,1,126.3,31.512903,24.629032,18.951613,67.879032
25,SAO LUIZ GONZAGA,2009-02-28,2009,2,131.7,31.921429,25.36,20.289286,72.651786
26,SAO LUIZ GONZAGA,2009-03-31,2009,3,44.0,31.654839,24.296129,18.883871,72.556452
27,SAO LUIZ GONZAGA,2009-04-30,2009,4,7.5,30.493333,21.788667,15.47,65.158333
28,SAO LUIZ GONZAGA,2009-05-31,2009,5,156.1,24.619355,18.459355,14.229032,73.725806
29,SAO LUIZ GONZAGA,2009-06-30,2009,6,102.0,18.876667,12.694,8.17,79.066667
30,SAO LUIZ GONZAGA,2009-07-31,2009,7,122.1,17.567742,11.847742,7.464516,76.137097
31,SAO LUIZ GONZAGA,2009-08-31,2009,8,193.7,23.53871,17.38129,12.8,72.580645
32,SAO LUIZ GONZAGA,2009-09-30,2009,9,224.9,22.716667,16.908,12.686667,79.183333
33,SAO LUIZ GONZAGA,2009-10-31,2009,10,176.3,27.948387,20.882581,14.9,68.58871
34,SAO LUIZ GONZAGA,2009-11-30,2009,11,672.2,30.463333,24.804,20.156667,78.341667
35,SAO LUIZ GONZAGA,2009-12-31,2009,12,214.5,31.93871,25.125806,19.803226,72.475806
36,SAO LUIZ GONZAGA,2010-01-31,2010,1,399.1,32.225806,25.626452,20.551613,76.258065
37,SAO LUIZ GONZAGA,2010-02-28,2010,2,244.5,32.764286,26.292143,21.960714,75.330357
38,SAO LUIZ GONZAGA,2010-03-31,2010,3,93.3,31.406452,24.483226,19.529032,73.274194
39,SAO LUIZ GONZAGA,2010-04-30,2010,4,150.6,26.99,20.346,15.816667,70.025
40,SAO LUIZ GONZAGA,2010-05-31,2010,5,138.6,21.280645,15.838065,11.6,82.596774
41,SAO LUIZ GONZAGA,2010-06-30,2010,6,73.3,21.493333,15.674667,11.513333,77.316667
42,SAO LUIZ GONZAGA,2010-07-31,2010,7,217.6,20.570968,14.156129,9.816129,77.177419
43,SAO LUIZ GONZAGA,2010-08-31,2010,8,13.6,22.035484,15.37871,10.783871,71.451613
44,SAO LUIZ GONZAGA,2010-09-30,2010,9,279.2,23.84,17.69,12.943333,77.308333
