Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent
Brasil,Afeganistão,2007,0,0,Afghanistan,Asia
Brasil,Afeganistão,2008,0,0,Afghanistan,Asia
Brasil,Afeganistão,2009,0,0,Afghanistan,Asia
Brasil,Afeganistão,2010,0,0,Afghanistan,Asia
Brasil,Afeganistão,2011,0,0,Afghanistan,Asia
Brasil,Afeganistão,2012,0,0,Afghanistan,Asia
Brasil,Afeganistão,2013,0,0,Afghanistan,Asia
Brasil,Afeganistão,2014,0,0,Afghanistan,Asia
Brasil,Afeganistão,2015,0,0,Afghanistan,Asia
Brasil,Afeganistão,2016,0,0,Afghanistan,Asia
Brasil,Afeganistão,2017,0,0,Afghanistan,Asia
Brasil,Afeganistão,2018,0,0,Afghanistan,Asia
Brasil,Afeganistão,2019,0,0,Afghanistan,Asia
Brasil,Afeganistão,2020,0,0,Afghanistan,Asia
Brasil,Afeganistão,2021,11,46,Afghanistan,Asia
Brasil,África do Sul,2007,0,0,South Africa,Africa
Brasil,África do Sul,2008,0,0,South Africa,Africa
Brasil,África do Sul,2009,0,0,South Africa,Africa
Brasil,África do Sul,2010,0,0,South Africa,Africa
Brasil,África do Sul,2011,0,0,South Africa,Africa
Brasil,África do Sul,2012,0,0,South Africa,Africa
Brasil,África do Sul,2013,0,0,South Africa,Africa
Brasil,África do Sul,2014,0,0,South Africa,Africa
Brasil,África do Sul,2015,0,0,South Africa,Africa
Brasil,África do Sul,2016,0,0,South Africa,Africa
Brasil,África do Sul,2017,0,0,South Africa,Africa
Brasil,África do Sul,2018,0,0,South Africa,Africa
Brasil,África do Sul,2019,26,95,South Africa,Africa
Brasil,África do Sul,2020,4,21,South Africa,Africa
Brasil,África do Sul,2021,0,0,South Africa,Africa
Brasil,Alemanha,2007,119512,238052,Germany,Europe
Brasil,Alemanha,2008,265742,429970,Germany,Europe
Brasil,Alemanha,2009,225086,393482,Germany,Europe
Brasil,Alemanha,2010,27715,138666,Germany,Europe
Brasil,Alemanha,2011,36070,144150,Germany,Europe
Brasil,Alemanha,2012,8189,56342,Germany,Europe
Brasil,Alemanha,2013,61699,265978,Germany,Europe
Brasil,Alemanha,2014,213348,761653,Germany,Europe
Brasil,Alemanha,2015,10680,44780,Germany,Europe
Brasil,Alemanha,2016,14012,68109,Germany,Europe
Brasil,Alemanha,2017,15467,87702,Germany,Europe
Brasil,Alemanha,2018,10794,45382,Germany,Europe
Brasil,Alemanha,2019,3660,25467,Germany,Europe
Brasil,Alemanha,2020,6261,32605,Germany,Europe
Brasil,Alemanha,2021,2698,6741,Germany,Europe
Brasil,Angola,2007,25931,49753,Angola,Africa
Brasil,Angola,2008,25721,71083,Angola,Africa
Brasil,Angola,2009,54786,84235,Angola,Africa
Brasil,Angola,2010,33557,189891,Angola,Africa
Brasil,Angola,2011,13889,69001,Angola,Africa
Brasil,Angola,2012,2833,8861,Angola,Africa
Brasil,Angola,2013,1573,9300,Angola,Africa
Brasil,Angola,2014,12182,23124,Angola,Africa
Brasil,Angola,2015,1908,17089,Angola,Africa
