Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent
Brasil,Alemanha,2007,119512,238052,Germany,Europe
Brasil,Alemanha,2008,265742,429970,Germany,Europe
Brasil,Alemanha,2009,225086,393482,Germany,Europe
Brasil,Alemanha,2010,27715,138666,Germany,Europe
Brasil,Alemanha,2011,36070,144150,Germany,Europe
Brasil,Alemanha,2012,8189,56342,Germany,Europe
Brasil,Alemanha,2013,61699,265978,Germany,Europe
Brasil,Alemanha,2014,213348,761653,Germany,Europe
Brasil,Alemanha,2015,10680,44780,Germany,Europe
Brasil,Alemanha,2016,14012,68109,Germany,Europe
Brasil,Alemanha,2017,15467,87702,Germany,Europe
Brasil,Alemanha,2018,10794,45382,Germany,Europe
Brasil,Alemanha,2019,3660,25467,Germany,Europe
Brasil,Alemanha,2020,6261,32605,Germany,Europe
Brasil,Alemanha,2021,2698,6741,Germany,Europe
Brasil,China,2007,7638,30390,China,Asia
Brasil,China,2008,8689,25926,China,Asia
Brasil,China,2009,1553416,482400,China,Asia
Brasil,China,2010,795,2358,China,Asia
Brasil,China,2011,54156,334867,China,Asia
Brasil,China,2012,87905,642177,China,Asia
Brasil,China,2013,40929,279956,China,Asia
Brasil,China,2014,64040,455340,China,Asia
Brasil,China,2015,47609,222866,China,Asia
Brasil,China,2016,134106,499622,China,Asia
Brasil,China,2017,67594,266086,China,Asia
Brasil,China,2018,30835,126336,China,Asia
Brasil,China,2019,129852,376828,China,Asia
Brasil,China,2020,122253,363000,China,Asia
Brasil,China,2021,61884,264116,China,Asia
Brasil,Espanha,2007,0,0,Spain,Europe
Brasil,Espanha,2008,2942,6834,Spain,Europe
Brasil,Espanha,2009,2181,4050,Spain,Europe
Brasil,Espanha,2010,0,0,Spain,Europe
Brasil,Espanha,2011,5206,24618,Spain,Europe
Brasil,Espanha,2012,0,0,Spain,Europe
Brasil,Espanha,2013,1972980,3748940,Spain,Europe
Brasil,Espanha,2014,0,0,Spain,Europe
Brasil,Espanha,2015,0,0,Spain,Europe
Brasil,Espanha,2016,0,0,Spain,Europe
Brasil,Espanha,2017,0,0,Spain,Europe
Brasil,Espanha,2018,6123,22631,Spain,Europe
Brasil,Espanha,2019,3540,1353,Spain,Europe
Brasil,Espanha,2020,28,126,Spain,Europe
Brasil,Espanha,2021,0,0,Spain,Europe
Brasil,Estados Unidos,2007,479269,810038,United States,North America
Brasil,Estados Unidos,2008,443895,804607,United States,North America
Brasil,Estados Unidos,2009,372319,660066,United States,North America
Brasil,Estados Unidos,2010,228968,478630,United States,North America
Brasil,Estados Unidos,2011,306787,1030254,United States,North America
Brasil,Estados Unidos,2012,146585,303986,United States,North America
Brasil,Estados Unidos,2013,245368,786556,United States,North America
Brasil,Estados Unidos,2014,222267,494216,United States,North America
Brasil,Estados Unidos,2015,195896,524109,United States,North America
Brasil,Estados Unidos,2016,258072,687411,United States,North America
Brasil,Estados Unidos,2017,132688,1523699,United States,North America
Brasil,Estados Unidos,2018,169109,512519,United States,North America
Brasil,Estados Unidos,2019,209765,616274,United States,North America
Brasil,Estados Unidos,2020,300178,610793,United States,North America
Brasil,Estados Unidos,2021,111085,203554,United States,North America
Brasil,Haiti,2007,0,0,Haiti,North America
Brasil,Haiti,2008,20,20,Haiti,North America
Brasil,Haiti,2009,4500,5863,Haiti,North America
Brasil,Haiti,2010,2700,3750,Haiti,North America
Brasil,Haiti,2011,0,0,Haiti,North America
Brasil,Haiti,2012,0,0,Haiti,North America
Brasil,Haiti,2013,0,0,Haiti,North America
Brasil,Haiti,2014,0,0,Haiti,North America
Brasil,Haiti,2015,0,0,Haiti,North America
Brasil,Haiti,2016,0,0,Haiti,North America
Brasil,Haiti,2017,0,0,Haiti,North America
