Country of Origin,Country Name,Year,Quantity (KG),Value (US),Country,Continent,GDP,Median Age,Life Expectation,Life Expectation Male,Life Expectation Female,Total Population Millions,Total Population Male Millions,Total Population Female Millions
Brasil,Alemanha,2007,119512,238052,Germany,Europe,41640.0808695147,42.0161,79.7412,76.9152,82.3986,81.18383,39.58908,41.594751
Brasil,Alemanha,2008,265742,429970,Germany,Europe,45612.7106221441,42.4238,79.8261,77.1124,82.3916,81.217482,39.653037,41.564445
Brasil,Alemanha,2009,225086,393482,Germany,Europe,41650.3678297162,42.8168,79.9248,77.2376,82.4838,81.260615,39.728361,41.532255
Brasil,Alemanha,2010,27715,138666,Germany,Europe,41572.4559481507,43.195,80.0864,77.4407,82.6215,81.32509,39.816164,41.508926
Brasil,Alemanha,2011,36070,144150,Germany,Europe,46705.8957963353,43.5585,80.36,77.7756,82.8333,81.423378,39.920616,41.502762
Brasil,Alemanha,2012,8189,56342,Germany,Europe,43855.8544658618,43.9019,80.5058,77.9738,82.9472,81.545565,40.036202,41.509364
Brasil,Alemanha,2013,61699,265978,Germany,Europe,46298.9229177341,44.2122,80.4633,77.9898,82.8637,81.680591,40.156052,41.524539
Brasil,Alemanha,2014,213348,761653,Germany,Europe,48023.8699845462,44.487,80.9151,78.4309,83.325,81.858825,40.290818,41.568007
Brasil,Alemanha,2015,10680,44780,Germany,Europe,41103.2564363768,44.7087,80.5742,78.1313,82.9765,82.073226,40.435376,41.63785
Brasil,Alemanha,2016,14012,68109,Germany,Europe,42136.1207907991,44.8604,80.8471,78.3859,83.2671,82.331422,40.589743,41.74168
Brasil,Alemanha,2017,15467,87702,Germany,Europe,44652.5891722719,44.9519,80.9442,78.5623,83.2892,82.624374,40.750816,41.873558
Brasil,Alemanha,2018,10794,45382,Germany,Europe,47939.2782884504,44.9969,81.1717,78.7169,83.596,82.896696,40.89483,42.001866
Brasil,Alemanha,2019,3660,25467,Germany,Europe,46793.6867616004,44.9945,81.5584,79.1279,83.9653,83.148141,41.02358,42.124562
Brasil,Alemanha,2020,6261,32605,Germany,Europe,46772.8253507545,44.9498,81.1472,78.6565,83.6455,83.328988,41.115471,42.213517
Brasil,Alemanha,2021,2698,6741,Germany,Europe,51203.5544731043,44.8742,80.6301,78.0809,83.2215,83.408554,41.153991,42.254563
Brasil,China,2007,7638,30390,China,Asia,2693.97006340526,32.7633,74.7619,72.2481,77.4923,1321.513224,676.255347,645.257876
Brasil,China,2008,8689,25926,China,Asia,3468.30460207434,33.2421,74.8719,72.3895,77.5624,1330.167148,680.746764,649.420385
Brasil,China,2009,1553416,482400,China,Asia,3832.23643246702,33.6807,75.3434,72.8305,78.0655,1339.125595,685.394598,653.730998
Brasil,China,2010,795,2358,China,Asia,4550.4531077571,34.0829,75.5991,73.0797,78.3255,1348.191368,690.07984,658.111528
